날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-03-31,평일,20,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,20,서촌사거리-서 (동향),있음(비0),140,B형 검토,0,0.0000
2026-03-31,평일,20,서촌사거리-북 (남향),있음(비0),56,B형 검토,0,0.0000
2026-03-31,평일,21,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,21,서촌사거리-서 (동향),있음(비0),87,B형 검토,0,0.0000
2026-03-31,평일,21,서촌사거리-북 (남향),있음(비0),45,B형 검토,0,0.0000
2026-03-31,평일,22,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,22,서촌사거리-서 (동향),있음(비0),74,B형 검토,0,0.0000
2026-03-31,평일,22,서촌사거리-북 (남향),있음(비0),40,B형 검토,0,0.0000
2026-03-31,평일,23,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,23,서촌사거리-서 (동향),있음(비0),48,B형 검토,0,0.0000
2026-03-31,평일,23,서촌사거리-북 (남향),있음(비0),33,B형 검토,0,0.0000
2026-04-01,평일,00,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,00,서촌사거리-서 (동향),있음(비0),34,B형 검토,0,0.0000
2026-04-01,평일,00,서촌사거리-북 (남향),있음(비0),18,B형 검토,0,0.0000
2026-04-01,평일,01,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,01,서촌사거리-서 (동향),있음(비0),28,B형 검토,0,0.0000
2026-04-01,평일,01,서촌사거리-북 (남향),있음(비0),11,B형 검토,0,0.0000
2026-04-01,평일,02,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,02,서촌사거리-서 (동향),있음(비0),22,B형 검토,0,0.0000
2026-04-01,평일,02,서촌사거리-북 (남향),있음(비0),2,B형 검토,0,0.0000
2026-04-01,평일,03,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,03,서촌사거리-서 (동향),있음(비0),21,B형 검토,0,0.0000
2026-04-01,평일,03,서촌사거리-북 (남향),있음(비0),4,B형 검토,0,0.0000
2026-04-01,평일,04,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,04,서촌사거리-서 (동향),있음(비0),33,B형 검토,0,0.0000
2026-04-01,평일,04,서촌사거리-북 (남향),있음(비0),18,B형 검토,0,0.0000
2026-04-01,평일,05,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,05,서촌사거리-서 (동향),있음(비0),87,B형 검토,0,0.0000
2026-04-01,평일,05,서촌사거리-북 (남향),있음(비0),25,B형 검토,0,0.0000
2026-04-01,평일,06,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,06,서촌사거리-서 (동향),있음(비0),192,B형 검토,0,0.0000
2026-04-01,평일,06,서촌사거리-북 (남향),있음(비0),53,B형 검토,0,0.0000
2026-04-01,평일,07,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,07,서촌사거리-서 (동향),있음(비0),388,B형 검토,0,0.0000
2026-04-01,평일,07,서촌사거리-북 (남향),있음(비0),61,B형 검토,0,0.0000
2026-04-01,평일,08,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,08,서촌사거리-서 (동향),있음(비0),600,B형 검토,0,0.0000
2026-04-01,평일,08,서촌사거리-북 (남향),있음(비0),107,B형 검토,0,0.0000
2026-04-01,평일,09,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,09,서촌사거리-서 (동향),있음(비0),423,B형 검토,0,0.0000
2026-04-01,평일,09,서촌사거리-북 (남향),있음(비0),136,B형 검토,0,0.0000
2026-04-01,평일,10,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,10,서촌사거리-서 (동향),있음(비0),299,B형 검토,0,0.0000
2026-04-01,평일,10,서촌사거리-북 (남향),있음(비0),142,B형 검토,0,0.0000
2026-04-01,평일,11,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,11,서촌사거리-서 (동향),있음(비0),241,B형 검토,0,0.0000
2026-04-01,평일,11,서촌사거리-북 (남향),있음(비0),170,B형 검토,0,0.0000
2026-04-01,평일,12,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,12,서촌사거리-서 (동향),있음(비0),214,B형 검토,0,0.0000
2026-04-01,평일,12,서촌사거리-북 (남향),있음(비0),158,B형 검토,0,0.0000
2026-04-01,평일,13,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,13,서촌사거리-서 (동향),있음(비0),219,B형 검토,0,0.0000
2026-04-01,평일,13,서촌사거리-북 (남향),있음(비0),158,B형 검토,0,0.0000
2026-04-01,평일,14,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-01,평일,14,서촌사거리-서 (동향),있음(비0),204,B형 검토,0,0.0000
2026-04-01,평일,14,서촌사거리-북 (남향),있음(비0),151,B형 검토,0,0.0000
2026-04-01,평일,15,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,15,서촌사거리-서 (동향),있음(비0),189,B형 검토,0,0.0000
2026-04-01,평일,15,서촌사거리-북 (남향),있음(비0),184,B형 검토,0,0.0000
2026-04-01,평일,16,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,16,서촌사거리-서 (동향),있음(비0),256,B형 검토,0,0.0000
2026-04-01,평일,16,서촌사거리-북 (남향),있음(비0),172,B형 검토,0,0.0000
2026-04-01,평일,17,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,17,서촌사거리-서 (동향),있음(비0),291,B형 검토,0,0.0000
2026-04-01,평일,17,서촌사거리-북 (남향),있음(비0),198,B형 검토,0,0.0000
2026-04-01,평일,18,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,18,서촌사거리-서 (동향),있음(비0),315,B형 검토,0,0.0000
2026-04-01,평일,18,서촌사거리-북 (남향),있음(비0),179,B형 검토,0,0.0000
2026-04-01,평일,19,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,19,서촌사거리-서 (동향),있음(비0),175,B형 검토,0,0.0000
2026-04-01,평일,19,서촌사거리-북 (남향),있음(비0),138,B형 검토,0,0.0000
2026-04-01,평일,20,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,20,서촌사거리-서 (동향),있음(비0),141,B형 검토,0,0.0000
2026-04-01,평일,20,서촌사거리-북 (남향),있음(비0),74,B형 검토,0,0.0000
2026-04-01,평일,21,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,21,서촌사거리-서 (동향),있음(비0),105,B형 검토,0,0.0000
2026-04-01,평일,21,서촌사거리-북 (남향),있음(비0),58,B형 검토,0,0.0000
2026-04-01,평일,22,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,22,서촌사거리-서 (동향),있음(비0),57,B형 검토,0,0.0000
2026-04-01,평일,22,서촌사거리-북 (남향),있음(비0),45,B형 검토,0,0.0000
2026-04-01,평일,23,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-01,평일,23,서촌사거리-서 (동향),있음(비0),48,B형 검토,0,0.0000
2026-04-01,평일,23,서촌사거리-북 (남향),있음(비0),36,B형 검토,0,0.0000
2026-04-02,평일,00,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2727
2026-04-02,평일,00,서촌사거리-서 (동향),있음(비0),46,B형 검토,0,0.0000
2026-04-02,평일,00,서촌사거리-북 (남향),있음(비0),17,B형 검토,0,0.0000
2026-04-02,평일,01,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-02,평일,01,서촌사거리-서 (동향),있음(비0),31,B형 검토,0,0.0000
2026-04-02,평일,01,서촌사거리-북 (남향),있음(비0),13,B형 검토,0,0.0000
2026-04-02,평일,02,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-02,평일,02,서촌사거리-서 (동향),있음(비0),20,B형 검토,0,0.0000
2026-04-02,평일,02,서촌사거리-북 (남향),있음(비0),4,B형 검토,0,0.0000
2026-04-02,평일,03,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-02,평일,03,서촌사거리-서 (동향),있음(비0),30,B형 검토,0,0.0000
2026-04-02,평일,03,서촌사거리-북 (남향),있음(비0),2,B형 검토,0,0.0000
2026-04-02,평일,04,서촌사거리-동 (서향),없음(NULL),,B형,0,0.2955
2026-04-02,평일,04,서촌사거리-서 (동향),있음(비0),50,B형 검토,0,0.0000
