날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-02-08,일·공휴일,18,멀뫼사거리-북 (남향),있음(비0),684,B형 검토,0,0.0000
2026-02-08,일·공휴일,19,멀뫼사거리-동 (서향),있음(비0),196,B형 검토,0,0.0000
2026-02-08,일·공휴일,19,멀뫼사거리-서 (동향),있음(비0),414,B형 검토,0,0.0000
2026-02-08,일·공휴일,19,멀뫼4R-남 (북향),있음(비0),775,B형 검토,0,0.0000
2026-02-08,일·공휴일,19,멀뫼사거리-북 (남향),있음(비0),596,B형 검토,0,0.0000
2026-02-08,일·공휴일,20,멀뫼사거리-동 (서향),있음(비0),186,B형 검토,0,0.0000
2026-02-08,일·공휴일,20,멀뫼사거리-서 (동향),있음(비0),397,B형 검토,0,0.0000
2026-02-08,일·공휴일,20,멀뫼4R-남 (북향),있음(비0),711,B형 검토,0,0.0000
2026-02-08,일·공휴일,20,멀뫼사거리-북 (남향),있음(비0),605,B형 검토,0,0.0000
2026-02-08,일·공휴일,21,멀뫼사거리-동 (서향),있음(비0),161,B형 검토,0,0.0000
2026-02-08,일·공휴일,21,멀뫼사거리-서 (동향),있음(비0),328,B형 검토,0,0.0000
2026-02-08,일·공휴일,21,멀뫼4R-남 (북향),있음(비0),659,B형 검토,0,0.0000
2026-02-08,일·공휴일,21,멀뫼사거리-북 (남향),있음(비0),472,B형 검토,0,0.0000
2026-02-08,일·공휴일,22,멀뫼사거리-동 (서향),있음(비0),124,B형 검토,0,0.0000
2026-02-08,일·공휴일,22,멀뫼사거리-서 (동향),있음(비0),284,B형 검토,0,0.0000
2026-02-08,일·공휴일,22,멀뫼4R-남 (북향),있음(비0),449,B형 검토,0,0.0000
2026-02-08,일·공휴일,22,멀뫼사거리-북 (남향),있음(비0),342,B형 검토,0,0.0000
2026-02-08,일·공휴일,23,멀뫼사거리-동 (서향),있음(비0),87,B형 검토,0,0.0000
2026-02-08,일·공휴일,23,멀뫼사거리-서 (동향),있음(비0),215,B형 검토,0,0.0000
2026-02-08,일·공휴일,23,멀뫼4R-남 (북향),있음(비0),315,B형 검토,0,0.0000
2026-02-08,일·공휴일,23,멀뫼사거리-북 (남향),있음(비0),212,B형 검토,0,0.0000
2026-02-09,평일,00,멀뫼사거리-동 (서향),있음(비0),75,B형 검토,0,0.1951
2026-02-09,평일,00,멀뫼사거리-서 (동향),있음(비0),156,B형 검토,0,0.1951
2026-02-09,평일,00,멀뫼4R-남 (북향),있음(비0),210,B형 검토,0,0.1951
2026-02-09,평일,00,멀뫼사거리-북 (남향),있음(비0),155,B형 검토,0,0.1951
2026-02-09,평일,01,멀뫼사거리-동 (서향),있음(비0),69,B형 검토,0,0.1951
2026-02-09,평일,01,멀뫼사거리-서 (동향),있음(비0),116,B형 검토,0,0.1951
2026-02-09,평일,01,멀뫼4R-남 (북향),있음(비0),169,B형 검토,0,0.1951
2026-02-09,평일,01,멀뫼사거리-북 (남향),있음(비0),83,B형 검토,0,0.1951
2026-02-09,평일,02,멀뫼사거리-동 (서향),있음(비0),62,B형 검토,0,0.1951
2026-02-09,평일,02,멀뫼사거리-서 (동향),있음(비0),107,B형 검토,0,0.1951
2026-02-09,평일,02,멀뫼4R-남 (북향),있음(비0),136,B형 검토,0,0.1951
2026-02-09,평일,02,멀뫼사거리-북 (남향),있음(비0),89,B형 검토,0,0.1951
2026-02-09,평일,03,멀뫼사거리-동 (서향),있음(비0),59,B형 검토,0,0.1951
2026-02-09,평일,03,멀뫼사거리-서 (동향),있음(비0),98,B형 검토,0,0.1951
2026-02-09,평일,03,멀뫼4R-남 (북향),있음(비0),134,B형 검토,0,0.1951
2026-02-09,평일,03,멀뫼사거리-북 (남향),있음(비0),117,B형 검토,0,0.1951
2026-02-09,평일,04,멀뫼사거리-동 (서향),있음(비0),75,B형 검토,0,0.2195
2026-02-09,평일,04,멀뫼사거리-서 (동향),있음(비0),154,B형 검토,0,0.2195
2026-02-09,평일,04,멀뫼4R-남 (북향),있음(비0),220,B형 검토,0,0.2195
2026-02-09,평일,04,멀뫼사거리-북 (남향),있음(비0),261,B형 검토,0,0.2195
2026-02-09,평일,05,멀뫼사거리-동 (서향),있음(비0),143,B형 검토,0,0.2195
2026-02-09,평일,05,멀뫼사거리-서 (동향),있음(비0),358,B형 검토,0,0.2195
2026-02-09,평일,05,멀뫼4R-남 (북향),있음(비0),565,B형 검토,0,0.2195
2026-02-09,평일,05,멀뫼사거리-북 (남향),있음(비0),559,B형 검토,0,0.2195
2026-02-09,평일,06,멀뫼사거리-동 (서향),있음(비0),202,B형 검토,0,0.2195
2026-02-09,평일,06,멀뫼사거리-서 (동향),있음(비0),461,B형 검토,0,0.2195
2026-02-09,평일,06,멀뫼4R-남 (북향),있음(비0),998,B형 검토,0,0.2195
2026-02-09,평일,06,멀뫼사거리-북 (남향),있음(비0),781,B형 검토,0,0.2195
2026-02-09,평일,07,멀뫼사거리-동 (서향),있음(비0),290,B형 검토,0,0.2195
2026-02-09,평일,07,멀뫼사거리-서 (동향),있음(비0),657,B형 검토,0,0.2195
2026-02-09,평일,07,멀뫼4R-남 (북향),있음(비0),1703,B형 검토,0,0.2195
2026-02-09,평일,07,멀뫼사거리-북 (남향),있음(비0),725,B형 검토,0,0.2195
2026-02-09,평일,08,멀뫼사거리-동 (서향),있음(비0),413,B형 검토,0,0.2195
2026-02-09,평일,08,멀뫼사거리-서 (동향),있음(비0),819,B형 검토,0,0.2195
2026-02-09,평일,08,멀뫼4R-남 (북향),있음(비0),1724,B형 검토,0,0.2195
2026-02-09,평일,08,멀뫼사거리-북 (남향),있음(비0),740,B형 검토,0,0.2195
2026-02-09,평일,09,멀뫼사거리-동 (서향),있음(비0),387,B형 검토,0,0.2439
2026-02-09,평일,09,멀뫼사거리-서 (동향),있음(비0),752,B형 검토,0,0.2439
2026-02-09,평일,09,멀뫼4R-남 (북향),있음(비0),1507,B형 검토,0,0.2439
2026-02-09,평일,09,멀뫼사거리-북 (남향),있음(비0),827,B형 검토,0,0.2439
2026-02-09,평일,10,멀뫼사거리-동 (서향),있음(비0),308,B형 검토,0,0.2439
2026-02-09,평일,10,멀뫼사거리-서 (동향),있음(비0),747,B형 검토,0,0.2439
2026-02-09,평일,10,멀뫼4R-남 (북향),있음(비0),1318,B형 검토,0,0.2439
2026-02-09,평일,10,멀뫼사거리-북 (남향),있음(비0),831,B형 검토,0,0.2439
2026-02-09,평일,11,멀뫼사거리-동 (서향),있음(비0),326,B형 검토,0,0.2439
2026-02-09,평일,11,멀뫼사거리-서 (동향),있음(비0),724,B형 검토,0,0.2439
2026-02-09,평일,11,멀뫼4R-남 (북향),있음(비0),1271,B형 검토,0,0.2439
2026-02-09,평일,11,멀뫼사거리-북 (남향),있음(비0),826,B형 검토,0,0.2439
2026-02-09,평일,12,멀뫼사거리-동 (서향),있음(비0),309,B형 검토,0,0.2195
2026-02-09,평일,12,멀뫼사거리-서 (동향),있음(비0),683,B형 검토,0,0.2195
2026-02-09,평일,12,멀뫼4R-남 (북향),있음(비0),1210,B형 검토,0,0.2195
2026-02-09,평일,12,멀뫼사거리-북 (남향),있음(비0),853,B형 검토,0,0.2195
2026-02-09,평일,13,멀뫼사거리-동 (서향),있음(비0),323,B형 검토,0,0.2195
2026-02-09,평일,13,멀뫼사거리-서 (동향),있음(비0),715,B형 검토,0,0.2195
2026-02-09,평일,13,멀뫼4R-남 (북향),있음(비0),1236,B형 검토,0,0.2195
2026-02-09,평일,13,멀뫼사거리-북 (남향),있음(비0),816,B형 검토,0,0.2195
2026-02-09,평일,14,멀뫼사거리-동 (서향),있음(비0),314,B형 검토,0,0.2195
2026-02-09,평일,14,멀뫼사거리-서 (동향),있음(비0),751,B형 검토,0,0.2195
2026-02-09,평일,14,멀뫼4R-남 (북향),있음(비0),1287,B형 검토,0,0.2195
2026-02-09,평일,14,멀뫼사거리-북 (남향),있음(비0),824,B형 검토,0,0.2195
2026-02-09,평일,15,멀뫼사거리-동 (서향),있음(비0),390,B형 검토,0,0.1951
2026-02-09,평일,15,멀뫼사거리-서 (동향),있음(비0),805,B형 검토,0,0.1951
2026-02-09,평일,15,멀뫼4R-남 (북향),있음(비0),1325,B형 검토,0,0.1951
2026-02-09,평일,15,멀뫼사거리-북 (남향),있음(비0),803,B형 검토,0,0.1951
2026-02-09,평일,16,멀뫼사거리-동 (서향),있음(비0),376,B형 검토,0,0.2195
2026-02-09,평일,16,멀뫼사거리-서 (동향),있음(비0),870,B형 검토,0,0.2195
2026-02-09,평일,16,멀뫼4R-남 (북향),있음(비0),1337,B형 검토,0,0.2195
2026-02-09,평일,16,멀뫼사거리-북 (남향),있음(비0),834,B형 검토,0,0.2195
2026-02-09,평일,17,멀뫼사거리-동 (서향),있음(비0),473,B형 검토,0,0.2683
2026-02-09,평일,17,멀뫼사거리-서 (동향),있음(비0),726,B형 검토,0,0.2683
2026-02-09,평일,17,멀뫼4R-남 (북향),있음(비0),1376,B형 검토,0,0.2683
2026-02-09,평일,17,멀뫼사거리-북 (남향),있음(비0),882,B형 검토,0,0.2683
2026-02-09,평일,18,멀뫼사거리-동 (서향),있음(비0),464,B형 검토,0,0.2683
2026-02-09,평일,18,멀뫼사거리-서 (동향),있음(비0),647,B형 검토,0,0.2683
2026-02-09,평일,18,멀뫼4R-남 (북향),있음(비0),1336,B형 검토,0,0.2683
2026-02-09,평일,18,멀뫼사거리-북 (남향),있음(비0),267,B형 검토,0,0.2683
2026-02-09,평일,19,멀뫼사거리-동 (서향),있음(비0),248,B형 검토,0,0.2683
2026-02-09,평일,19,멀뫼사거리-서 (동향),있음(비0),515,B형 검토,0,0.2683
2026-02-09,평일,19,멀뫼4R-남 (북향),있음(비0),1217,B형 검토,0,0.2683
2026-02-09,평일,19,멀뫼사거리-북 (남향),없음(NULL),,B형,0,0.2683
2026-02-09,평일,20,멀뫼사거리-동 (서향),있음(비0),210,B형 검토,0,0.2683
2026-02-09,평일,20,멀뫼사거리-서 (동향),있음(비0),433,B형 검토,0,0.2683
2026-02-09,평일,20,멀뫼4R-남 (북향),있음(비0),1023,B형 검토,0,0.2683
2026-02-09,평일,20,멀뫼사거리-북 (남향),없음(NULL),,B형,0,0.2683
2026-02-09,평일,21,멀뫼사거리-동 (서향),있음(비0),175,B형 검토,0,0.2683
2026-02-09,평일,21,멀뫼사거리-서 (동향),있음(비0),379,B형 검토,0,0.2683
