날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-01-02,평일,01,항동중학교입구3R-북(남향),있음(비0),11,B형 검토,1,0.7955
2026-01-02,평일,01,항동중학교입구3R-동(서향),있음(비0),4,B형 검토,1,0.7955
2026-01-02,평일,02,항동중학교입구3R-남(북향),있음(비0),23,B형 검토,0,0.0435
2026-01-02,평일,02,항동중학교입구3R-북(남향),있음(비0),10,B형 검토,1,0.7955
2026-01-02,평일,02,항동중학교입구3R-동(서향),있음(비0),3,B형 검토,1,0.7955
2026-01-02,평일,03,항동중학교입구3R-남(북향),있음(비0),19,B형 검토,0,0.0435
2026-01-02,평일,03,항동중학교입구3R-북(남향),있음(비0),7,B형 검토,1,0.7955
2026-01-02,평일,03,항동중학교입구3R-동(서향),있음(비0),2,B형 검토,2,0.6214
2026-01-02,평일,04,항동중학교입구3R-남(북향),있음(비0),31,B형 검토,0,0.0435
2026-01-02,평일,04,항동중학교입구3R-북(남향),있음(비0),18,B형 검토,2,0.6195
2026-01-02,평일,04,항동중학교입구3R-동(서향),있음(비0),10,B형 검토,2,0.6214
2026-01-02,평일,05,항동중학교입구3R-남(북향),있음(비0),91,B형 검토,0,0.0435
2026-01-02,평일,05,항동중학교입구3R-북(남향),있음(비0),33,B형 검토,2,0.6233
2026-01-02,평일,05,항동중학교입구3R-동(서향),있음(비0),16,B형 검토,2,0.6195
2026-01-02,평일,06,항동중학교입구3R-남(북향),있음(비0),204,B형 검토,0,0.0435
2026-01-02,평일,06,항동중학교입구3R-북(남향),있음(비0),59,B형 검토,2,0.6233
2026-01-02,평일,06,항동중학교입구3R-동(서향),있음(비0),23,B형 검토,2,0.6214
2026-01-02,평일,07,항동중학교입구3R-남(북향),있음(비0),374,B형 검토,0,0.0435
2026-01-02,평일,07,항동중학교입구3R-북(남향),있음(비0),80,B형 검토,2,0.6233
2026-01-02,평일,07,항동중학교입구3R-동(서향),있음(비0),44,B형 검토,2,0.6214
2026-01-02,평일,08,항동중학교입구3R-남(북향),있음(비0),392,B형 검토,0,0.0652
2026-01-02,평일,08,항동중학교입구3R-북(남향),있음(비0),72,B형 검토,2,0.6233
2026-01-02,평일,08,항동중학교입구3R-동(서향),있음(비0),87,B형 검토,2,0.6214
2026-01-02,평일,09,항동중학교입구3R-남(북향),있음(비0),301,B형 검토,0,0.0435
2026-01-02,평일,09,항동중학교입구3R-북(남향),있음(비0),80,B형 검토,2,0.6214
2026-01-02,평일,09,항동중학교입구3R-동(서향),있음(비0),80,B형 검토,2,0.6195
2026-01-02,평일,10,항동중학교입구3R-남(북향),있음(비0),270,B형 검토,0,0.0435
2026-01-02,평일,10,항동중학교입구3R-북(남향),있음(비0),62,B형 검토,1,0.7955
2026-01-02,평일,10,항동중학교입구3R-동(서향),있음(비0),69,B형 검토,1,0.7955
2026-01-02,평일,11,항동중학교입구3R-남(북향),있음(비0),239,B형 검토,0,0.0870
2026-01-02,평일,11,항동중학교입구3R-북(남향),있음(비0),55,B형 검토,1,0.7955
2026-01-02,평일,11,항동중학교입구3R-동(서향),있음(비0),73,B형 검토,1,0.7955
2026-01-02,평일,12,항동중학교입구3R-남(북향),있음(비0),241,B형 검토,0,0.0652
2026-01-02,평일,12,항동중학교입구3R-북(남향),있음(비0),57,B형 검토,1,0.7955
2026-01-02,평일,12,항동중학교입구3R-동(서향),있음(비0),84,B형 검토,1,0.7955
2026-01-02,평일,13,항동중학교입구3R-남(북향),있음(비0),275,B형 검토,0,0.0217
2026-01-02,평일,13,항동중학교입구3R-북(남향),있음(비0),56,B형 검토,1,0.7955
2026-01-02,평일,13,항동중학교입구3R-동(서향),있음(비0),80,B형 검토,1,0.7955
2026-01-02,평일,14,항동중학교입구3R-남(북향),있음(비0),291,B형 검토,0,0.0217
2026-01-02,평일,14,항동중학교입구3R-북(남향),있음(비0),46,B형 검토,2,0.6272
2026-01-02,평일,14,항동중학교입구3R-동(서향),있음(비0),109,B형 검토,2,0.6272
2026-01-02,평일,15,항동중학교입구3R-남(북향),있음(비0),272,B형 검토,0,0.0435
2026-01-02,평일,15,항동중학교입구3R-북(남향),있음(비0),91,B형 검토,1,0.7879
2026-01-02,평일,15,항동중학교입구3R-동(서향),있음(비0),122,B형 검토,1,0.7879
2026-01-02,평일,16,항동중학교입구3R-남(북향),있음(비0),339,B형 검토,0,0.0435
2026-01-02,평일,16,항동중학교입구3R-북(남향),있음(비0),50,B형 검토,1,0.7879
2026-01-02,평일,16,항동중학교입구3R-동(서향),있음(비0),100,B형 검토,1,0.7879
2026-01-02,평일,17,항동중학교입구3R-남(북향),있음(비0),414,B형 검토,0,0.0435
2026-01-02,평일,17,항동중학교입구3R-북(남향),있음(비0),62,B형 검토,1,0.7879
2026-01-02,평일,17,항동중학교입구3R-동(서향),있음(비0),116,B형 검토,1,0.7879
2026-01-02,평일,18,항동중학교입구3R-남(북향),있음(비0),437,B형 검토,0,0.0435
2026-01-02,평일,18,항동중학교입구3R-북(남향),있음(비0),60,B형 검토,1,0.7879
2026-01-02,평일,18,항동중학교입구3R-동(서향),있음(비0),134,B형 검토,1,0.7879
2026-01-02,평일,19,항동중학교입구3R-남(북향),있음(비0),303,B형 검토,0,0.0435
2026-01-02,평일,19,항동중학교입구3R-북(남향),있음(비0),51,B형 검토,1,0.7879
2026-01-02,평일,19,항동중학교입구3R-동(서향),있음(비0),98,B형 검토,1,0.7879
2026-01-02,평일,20,항동중학교입구3R-남(북향),있음(비0),182,B형 검토,0,0.0435
2026-01-02,평일,20,항동중학교입구3R-북(남향),있음(비0),41,B형 검토,1,0.7879
2026-01-02,평일,20,항동중학교입구3R-동(서향),있음(비0),60,B형 검토,1,0.7879
2026-01-02,평일,21,항동중학교입구3R-남(북향),있음(비0),141,B형 검토,0,0.0435
2026-01-02,평일,21,항동중학교입구3R-북(남향),있음(비0),35,B형 검토,1,0.7879
2026-01-02,평일,21,항동중학교입구3R-동(서향),있음(비0),44,B형 검토,1,0.7879
2026-01-02,평일,22,항동중학교입구3R-남(북향),있음(비0),105,B형 검토,0,0.0435
